"gene_name"	"n_syn"	"n_mis"	"n_non"	"n_spl"	"n_ind"	"wmis_cv"	"wnon_cv"	"wspl_cv"	"wind_cv"	"pmis_cv"	"ptrunc_cv"	"pallsubs_cv"	"pind_cv"	"qmis_cv"	"qtrunc_cv"	"qallsubs_cv"	"qind_cv"	"pglobal_cv"	"qglobal_cv"
"KDM6A"	0	1	0	0	1	52.1901675833639	0	0	402.522991296552	0.0147330772241875	0.955247143195079	0.0510153110080093	0.0011898143807268	0.978013717198274	0.998104353529444	0.99998495022595	1	0.000650058577974288	0.999999999886752
"MN1"	2	1	0	0	4	0.367465949420953	0	0	1717.35017331368	0.487561675254639	0.791977399958671	0.771137951947784	0.000154351638144293	0.978013717198274	0.998104353529444	0.99998495022595	0.604258515186531	0.0011945686736945	0.999999999886752
"BCL11B"	2	3	0	0	3	1.06905964480331	0	0	1901.0778594531	0.953605446304498	0.717382175734639	0.930334703371377	0.000156262101340465	0.978013717198274	0.998104353529444	0.99998495022595	0.604258515186531	0.00142994602341862	0.999999999886752
"ELANE"	1	2	0	0	1	347.360629260248	0	0	2116.24960722702	0.219457258536728	0.981252846892325	0.441130399154556	0.000379542035218745	0.978013717198274	0.998104353529444	0.99998495022595	0.693216275416346	0.0016232031946386	0.999999999886752
"ZFHX4"	5	3	0	0	2	0.276541405838441	0	0	313.605139472957	0.0933378992820798	0.417004354527652	0.208473991006717	0.00109097791196029	0.978013717198274	0.998104353529444	0.99998495022595	1	0.00213535302027656	0.999999999886752
"ARID1A"	2	1	0	0	4	0.403945512043031	0	0	992.397016162453	0.528209373987848	0.642196643526147	0.768381999065158	0.000330808341106618	0.978013717198274	0.998104353529444	0.99998495022595	0.693216275416346	0.00235820617202087	0.999999999886752
"DNMT3A"	0	0	0	0	2	0	0	0	1242.39845506428	0.857563481961639	0.960349181928063	0.982807765132398	0.000345916401973246	0.978013717198274	0.998104353529444	0.99998495022595	0.693216275416346	0.00305518709801211	0.999999999886752
"GATA1"	0	0	0	0	1	0	0	0	1369.93935926773	0.908409361978578	0.980777750694707	0.993115858899855	0.00053399961878128	0.978013717198274	0.998104353529444	0.99998495022595	0.731109349722855	0.00453003565051546	0.999999999886752
"EGLN1"	0	0	0	0	1	0	0	0	1328.23160359916	0.903324097327903	0.979096156257088	0.992309783435013	0.000546544513974578	0.978013717198274	0.998104353529444	0.99998495022595	0.731109349722855	0.00462054036721593	0.999999999886752
"ETNK1"	0	0	0	0	1	0	0	0	1251.99756012548	0.905831456269001	0.975624995569728	0.992563782939488	0.000571119419486709	0.978013717198274	0.998104353529444	0.99998495022595	0.731109349722855	0.00480445730259416	0.999999999886752
"HNRNPK"	0	0	0	0	1	0	0	0	1219.68794567063	0.910194867264566	0.969565935295484	0.992936150841144	0.000582238295533606	0.978013717198274	0.998104353529444	0.99998495022595	0.731109349722855	0.004888466755261	0.999999999886752
"PRPF8"	1	0	0	0	2	0	0	0	485.577820836337	0.78194955247689	0.941710263656245	0.959851494494919	0.000807448349976203	0.978013717198274	0.998104353529444	0.99998495022595	0.847050966243683	0.00632627033387434	0.999999999886752
"KMT2A"	0	0	0	0	2	0	0	0	285.504603441652	0.73896610876047	0.942534874125881	0.943539749228828	0.00115638825878633	0.978013717198274	0.998104353529444	0.99998495022595	1	0.00853301106685178	0.999999999886752
"SETD1B"	3	4	0	0	1	0.714930424299412	0	0	288.334974446793	0.704146280486388	0.517284020196349	0.783311810109384	0.00141867888863014	0.978013717198274	0.998104353529444	0.99998495022595	1	0.0086703942355979	0.999999999886752
"CEBPA"	0	2	0	0	0	268.979632356785	0	0	0	0.00073270103044476	0.987128405145437	0.00330075032409438	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.0221599354158165	0.999999999886752
"CTCF"	0	2	0	0	0	188.877861921102	0	0	0	0.00120112976827846	0.968623851886123	0.00501115907896166	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.0315506987313466	0.999999999886752
"STAG2"	0	2	0	0	0	117.308469168804	0	0	0	0.00205713505081329	0.956166338595799	0.00812779212949322	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.0472425151077702	0.999999999886752
"NAF1"	9	1	0	0	0	0.0965110187700147	0	0	0	0.00428503184237905	0.318314537472351	0.0131961827048562	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.070306987488425	0.999999999886752
"CCND3"	0	1	0	0	0	182.747638297164	0	0	0	0.00369657985906857	0.980340434165812	0.0147888491346934	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.077107311627804	0.999999999886752
